GPU	Run	Measurement	Duration	Speedup
RTX 2080 Ti	8	memory	0.00523184	7.708511728187407
RTX 2080 Ti	8	parallel	0.005391378	7.480406678960371
RTX 2080 Ti	9	sequential	0.035863	1.0
RTX 2080 Ti	9	kernel	0.000134601	266.4393280882014
RTX 2080 Ti	9	memory	0.00442482	8.104962461749857
RTX 2080 Ti	9	parallel	0.004559421	7.865691718312478
RTX 2080 Ti	10	sequential	0.0554549	1.0
RTX 2080 Ti	10	kernel	0.000163646	338.87109981301097
RTX 2080 Ti	10	memory	0.00540054	10.268399086017325
RTX 2080 Ti	10	parallel	0.005564186	9.966399397863409
RTX 2080 Ti	1	sequential	0.0472134	1.0
RTX 2080 Ti	1	kernel	0.000217406	217.16695951353688
RTX 2080 Ti	1	memory	0.00800851	5.895403764245784
RTX 2080 Ti	1	parallel	0.008225916	5.739591797436298
RTX 2080 Ti	2	sequential	0.0726342	1.0
RTX 2080 Ti	2	kernel	0.000216777	335.0641442588466
RTX 2080 Ti	2	memory	0.00798845	9.092402155612165
RTX 2080 Ti	2	parallel	0.008205226999999999	8.852186539141453
RTX 2080 Ti	3	sequential	0.0726862	1.0
RTX 2080 Ti	3	kernel	0.000218883	332.0778680847759
RTX 2080 Ti	3	memory	0.00793946	9.155055885412862
RTX 2080 Ti	3	parallel	0.008158343	8.90943173141899
RTX 2080 Ti	4	sequential	0.0759193	1.0
RTX 2080 Ti	4	kernel	0.000217417	349.18750603678643
RTX 2080 Ti	4	memory	0.00647785	11.719829881828074
RTX 2080 Ti	4	parallel	0.006695267	11.33924905459334
RTX 2080 Ti	5	sequential	0.0727278	1.0
RTX 2080 Ti	5	kernel	0.000217664	334.1287488973831
RTX 2080 Ti	5	memory	0.00648716	11.21103842051067
RTX 2080 Ti	5	parallel	0.006704824	10.847085620741126
RTX 2080 Ti	6	sequential	0.0727308	1.0
RTX 2080 Ti	6	kernel	0.00021843	332.970745776679
RTX 2080 Ti	6	memory	0.00792048	9.182625295436639
RTX 2080 Ti	6	parallel	0.008138910000000001	8.936184329351226
RTX 2080 Ti	7	sequential	0.0704905	1.0
RTX 2080 Ti	7	kernel	0.000215923	326.4612848098628
RTX 2080 Ti	7	memory	0.00798712	8.825521589759513
RTX 2080 Ti	7	parallel	0.008203043	8.59321351844675
RTX 2080 Ti	8	sequential	0.0713559	1.0
RTX 2080 Ti	8	kernel	0.000201376	354.3416295884316
RTX 2080 Ti	8	memory	0.00600136	11.88995494354613
RTX 2080 Ti	8	parallel	0.0062027359999999995	11.503939551836481
RTX 2080 Ti	9	sequential	0.0789342	1.0
RTX 2080 Ti	9	kernel	0.000217426	363.0393789151251
RTX 2080 Ti	9	memory	0.00790987	9.979203198029804
RTX 2080 Ti	9	parallel	0.008127295999999999	9.712233933647797
RTX 2080 Ti	10	sequential	0.0732046	1.0
RTX 2080 Ti	10	kernel	0.000206934	353.75820309857244
RTX 2080 Ti	10	memory	0.0052964	13.821576920172193
RTX 2080 Ti	10	parallel	0.0055033339999999995	13.301863924668211
RTX 2080 Ti	11	sequential	0.0769937	1.0
RTX 2080 Ti	11	kernel	0.000208725	368.8762726074979
RTX 2080 Ti	11	memory	0.00649192	11.859927417466634
RTX 2080 Ti	11	parallel	0.006700645	11.490490840807116
RTX 2080 Ti	12	sequential	0.0732144	1.0
RTX 2080 Ti	12	kernel	0.000208115	351.7978040986954
RTX 2080 Ti	12	memory	0.00645993	11.333621262149899
RTX 2080 Ti	12	parallel	0.006668045	10.97988990776157
RTX 2080 Ti	13	sequential	0.0733395	1.0
RTX 2080 Ti	13	kernel	0.000208655	351.4869042198845
RTX 2080 Ti	13	memory	0.00645691	11.358296770436633
RTX 2080 Ti	13	parallel	0.006665565	11.002743203314347
RTX 2080 Ti	14	sequential	0.0731508	1.0
RTX 2080 Ti	14	kernel	0.000208822	350.30217122716954
RTX 2080 Ti	14	memory	0.00530565	13.787339911226711
RTX 2080 Ti	14	parallel	0.005514472	13.265240987713783
RTX 2080 Ti	15	sequential	0.0678075	1.0
RTX 2080 Ti	15	kernel	0.000216863	312.67436123266765
RTX 2080 Ti	15	memory	0.00788484	8.599730622308126
RTX 2080 Ti	15	parallel	0.008101703	8.369536627052362
RTX 2080 Ti	16	sequential	0.0728518	1.0
RTX 2080 Ti	16	kernel	0.000229577	317.330568828759
RTX 2080 Ti	16	memory	0.00792568	9.19186744859747
RTX 2080 Ti	16	parallel	0.008155256999999999	8.933109036294013
RTX 2080 Ti	17	sequential	0.0761813	1.0
RTX 2080 Ti	17	kernel	0.000216	352.6912037037037
RTX 2080 Ti	17	memory	0.00802061	9.49819278084834
RTX 2080 Ti	17	parallel	0.008236609999999998	9.249108553154757
RTX 2080 Ti	18	sequential	0.0758561	1.0
RTX 2080 Ti	18	kernel	0.000217873	348.16659246441736
RTX 2080 Ti	18	memory	0.00807517	9.393746509361414
RTX 2080 Ti	18	parallel	0.008293043	9.146956069081035
TitanX Maxwell	1	sequential	0.0759212	1.0
TitanX Maxwell	1	kernel	0.00235325	32.26227557633061
TitanX Maxwell	1	memory	0.00748942	10.13712677350182
TitanX Maxwell	1	parallel	0.00984267	7.713476119792698
TitanX Maxwell	2	sequential	0.0446428	1.0
TitanX Maxwell	2	kernel	0.00230016	19.408562882582082
TitanX Maxwell	2	memory	0.00734316	6.07950800472821
