idx	version	outer	inner_min	inner_max	adr	time
0	parallel	10	5000	15000	random	9.420600e-03
1	parallel	100	5000	15000	random	7.217620e-02
2	parallel	1000	5000	15000	random	1.103002e-01
3	parallel	10000	5000	15000	random	1.990636e+00
