	gpu_model	min_speedup	max_speedup	mean_speedup	sd_speedup	min_duration	max_duration	mean_duration	sd_duration	min_duration_sequential	max_duration_sequential	mean_duration_sequential	sd_duration_sequential
0	TitanX Maxwell	4.478812311800217	7.774039268669006	5.193597638411384	1.3120817534283244	9.643320000000001	10.36878	10.161242142857134	0.23855682613384507	44.149800000000006	77.7945	52.70419285714286	12.981559706603012
1	TitanX Pascal	3.665048127508671	8.781997078945347	6.4611364298153395	1.2815127380566775	8.51008	14.10983	10.287387399999986	1.6307284629688077	43.4409	79.9715	65.539352	11.711607479222044
2	RTX 2080 Ti	5.739591797436298	13.301863924668211	9.556092300558719	1.7491025801849085	4.559421	8.293043	7.112886071428543	1.0782268281579752	35.863	78.93419999999999	67.2649607142857	11.72175648635632
