strategy	n_threads	n_cols	n_rows	iterations	min	max	diff	avg	time	flops
omp	8	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.393568e-01	4.310621e+09	
pth	8	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	5.734324e-01	1.047576e+09	
omp	8	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.321383e-01	4.546102e+09	
pth	8	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	6.336528e-01	3.792072e+09	
omp	8	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.099625e-01	1.144422e+10	
pth	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	6.308751e-01	3.808768e+09	
omp	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.981462e-01	1.212669e+10	
pth	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	9.129848e-01	1.315935e+10	
omp	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.215844e-01	1.932849e+10	
pth	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	8.002509e-01	1.501315e+10	
omp	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	5.955609e-01	2.017306e+10	
pth	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.198107e+00	2.005545e+10	
omp	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.130751e+00	2.125011e+10	
pth	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.039756e+00	2.310983e+10	
omp	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.108903e+00	2.166878e+10	
pth	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.831320e+00	4.243352e+10	
omp	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.847547e+00	3.122583e+10	
pth	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.267255e+01	5.812950e+09	
omp	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	4.062228e+01	1.183024e+10	
pth	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.089142e+00	5.515481e+08	
omp	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	2.068143e-01	2.904607e+09	
pth	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.081659e+00	5.553637e+08	
omp	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.894701e-01	3.170497e+09	
pth	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	1.169264e+00	2.055017e+09	
omp	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.604857e-01	9.224525e+09	
pth	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.154879e+00	2.080614e+09	
omp	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	2.326858e-01	1.032662e+10	
pth	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.400240e+00	8.580159e+09	
omp	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.509062e-01	1.845778e+10	
pth	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.293821e+00	9.285892e+09	
omp	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	6.481100e-01	1.853742e+10	
pth	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.714053e+00	1.401857e+10	
omp	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.112272e+00	2.160313e+10	
pth	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.597377e+00	1.504252e+10	
omp	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.140037e+00	2.107701e+10	
pth	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.624808e+00	4.577206e+10	
omp	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.519139e+00	3.413985e+10	
pth	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.244026e+01	5.829329e+09	
omp	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.854751e+01	1.246699e+10	
pth	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.709822e+00	1.619254e+08	
omp	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.301006e-01	1.819792e+09	
pth	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.998951e+00	1.502180e+08	
omp	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	2.797301e-01	2.147478e+09	
pth	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.596458e+00	6.681177e+08	
omp	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.726482e-01	6.448058e+09	
pth	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.566995e+00	6.736363e+08	
omp	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.473333e-01	6.918016e+09	
pth	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	3.967777e+00	3.027964e+09	
omp	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	7.777608e-01	1.544728e+10	
pth	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	3.946184e+00	3.044533e+09	
omp	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.828952e-01	1.534597e+10	
pth	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	4.370928e+00	5.497361e+09	
omp	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.312729e+00	1.830429e+10	
pth	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	4.383601e+00	5.481468e+09	
omp	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.297497e+00	1.851917e+10	
pth	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	5.630656e+00	2.133728e+10	
omp	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.910218e+00	3.072536e+10
seq	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.358476e-01	4.421971e+09	
pth	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.320745e-01	1.808974e+09	
omp	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.377968e-01	4.359423e+09	
seq	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.020599e-01	5.885898e+09	
pth	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.080039e-01	1.950346e+09	
omp	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.435208e-01	4.185555e+09	
seq	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	4.349737e-01	5.524143e+09	
pth	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	4.775306e-01	5.031839e+09	
omp	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.292845e-01	7.297208e+09	
seq	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	4.356246e-01	5.515889e+09	
pth	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	4.911524e-01	4.892284e+09	
omp	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	2.806014e-01	8.563240e+09	
seq	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.588702e+00	7.562326e+09	
